taxon,lineage,probability,pangoLEARN_version,status,note
Sequence_Identifier:AG_6977.aid_6995.SARS-CoV-2|Sample_Identifier:AG_6977|Sample_Name:MSK-9A_Isolate|Segment:SARS-CoV-2,A.3,1.0,2020-07-20,passed_qc,
Sequence_Identifier:AG_6974.aid_6994.SARS-CoV-2|Sample_Identifier:AG_6974|Sample_Name:MSK-4C_Isolate|Segment:SARS-CoV-2,B.1.1,0.99,2020-07-20,passed_qc,
Sequence_Identifier:AG_6973.aid_6992.SARS-CoV-2|Sample_Identifier:AG_6973|Sample_Name:MSK-4A_Isolate|Segment:SARS-CoV-2,B.1.1,0.99,2020-07-20,passed_qc,
Sequence_Identifier:AG_6965.aid_6991.SARS-CoV-2|Sample_Identifier:AG_6965|Sample_Name:MSK-9A|Segment:SARS-CoV-2,A.3,1.0,2020-07-20,passed_qc,
Sequence_Identifier:AG_6957.aid_6989.SARS-CoV-2|Sample_Identifier:AG_6957|Sample_Name:MSK-2A|Segment:SARS-CoV-2,B.1,0.99,2020-07-20,passed_qc,
Sequence_Identifier:AG_6969.aid_6987.SARS-CoV-2|Sample_Identifier:AG_6969|Sample_Name:MSK-2A_Isolate|Segment:SARS-CoV-2,B.1,0.99,2020-07-20,passed_qc,
Sequence_Identifier:AG_6978.aid_6986.SARS-CoV-2|Sample_Identifier:AG_6978|Sample_Name:MSK-9B_Isolate|Segment:SARS-CoV-2,A.3,1.0,2020-07-20,passed_qc,
Sequence_Identifier:AG_7542.aid_6983.SARS-CoV-2|Sample_Identifier:AG_7542|Sample_Name:MSK_-1A-X|Segment:SARS-CoV-2,B.1,0.99,2020-07-20,passed_qc,
Sequence_Identifier:AG_6961.aid_6982.SARS-CoV-2|Sample_Identifier:AG_6961|Sample_Name:MSK-4A|Segment:SARS-CoV-2,B.1.1,0.99,2020-07-20,passed_qc,
Sequence_Identifier:AG_6968.aid_6981.SARS-CoV-2|Sample_Identifier:AG_6968|Sample_Name:MSK_-1A_Isolate|Segment:SARS-CoV-2,B.1,0.99,2020-07-20,passed_qc,
Sequence_Identifier:AG_6959.aid_6977.SARS-CoV-2|Sample_Identifier:AG_6959|Sample_Name:MSK-3B|Segment:SARS-CoV-2,B.1,0.99,2020-07-20,passed_qc,
Sequence_Identifier:AG_6958.aid_6975.SARS-CoV-2|Sample_Identifier:AG_6958|Sample_Name:MSK-3A|Segment:SARS-CoV-2,B.1,0.99,2020-07-20,passed_qc,
Sequence_Identifier:JF_7151.aid_6891.SARS-CoV-2|Sample_Identifier:JF_7151|Sample_Name:MH001867v1|Segment:SARS-CoV-2,B.1,0.99,2020-07-20,passed_qc,
Sequence_Identifier:JF_7152.aid_6890.SARS-CoV-2|Sample_Identifier:JF_7152|Sample_Name:MH001827v1|Segment:SARS-CoV-2,B.1,0.98,2020-07-20,passed_qc,
Sequence_Identifier:AG_7025.aid_6754.SARS-CoV-2|Sample_Identifier:AG_7025|Sample_Name:Bell_08_1|Segment:SARS-CoV-2,B.1.5,0.94,2020-07-20,passed_qc,
Sequence_Identifier:AG_7024.aid_6753.SARS-CoV-2|Sample_Identifier:AG_7024|Sample_Name:Bell_07_1|Segment:SARS-CoV-2,B.1,0.97,2020-07-20,passed_qc,
Sequence_Identifier:AG_7004.aid_6748.SARS-CoV-2|Sample_Identifier:AG_7004|Sample_Name:Bell_02_1|Segment:SARS-CoV-2,B.1.1,0.99,2020-07-20,passed_qc,
Sequence_Identifier:DP_6248.aid_6670.SARS-CoV-2|Sample_Identifier:DP_6248|Sample_Name:12712-61|Segment:SARS-CoV-2,B.1.5,0.95,2020-07-20,passed_qc,
Sequence_Identifier:DP_6255.aid_6669.SARS-CoV-2|Sample_Identifier:DP_6255|Sample_Name:1083-6|Segment:SARS-CoV-2,B.1.5,0.95,2020-07-20,passed_qc,
Sequence_Identifier:DP_6244.aid_6668.SARS-CoV-2|Sample_Identifier:DP_6244|Sample_Name:11499-61|Segment:SARS-CoV-2,B.1.5,0.98,2020-07-20,passed_qc,
Sequence_Identifier:DP_6235.aid_6666.SARS-CoV-2|Sample_Identifier:DP_6235|Sample_Name:2859-202|Segment:SARS-CoV-2,B.1.5,0.94,2020-07-20,passed_qc,
Sequence_Identifier:DP_6281.aid_6662.SARS-CoV-2|Sample_Identifier:DP_6281|Sample_Name:5120608|Segment:SARS-CoV-2,B.1.1,0.99,2020-07-20,passed_qc,
Sequence_Identifier:DP_6237.aid_6649.SARS-CoV-2|Sample_Identifier:DP_6237|Sample_Name:586-147|Segment:SARS-CoV-2,B.1.5,0.94,2020-07-20,passed_qc,
Sequence_Identifier:DP_6261.aid_6653.SARS-CoV-2|Sample_Identifier:DP_6261|Sample_Name:2842-202|Segment:SARS-CoV-2,B.1.5,0.94,2020-07-20,passed_qc,
Sequence_Identifier:DP_6233.aid_6651.SARS-CoV-2|Sample_Identifier:DP_6233|Sample_Name:323-200|Segment:SARS-CoV-2,B.1.5,0.95,2020-07-20,passed_qc,
Sequence_Identifier:DP_6238.aid_6647.SARS-CoV-2|Sample_Identifier:DP_6238|Sample_Name:11859-61|Segment:SARS-CoV-2,B.1.5,0.95,2020-07-20,passed_qc,
Sequence_Identifier:DP_6287.aid_6644.SARS-CoV-2|Sample_Identifier:DP_6287|Sample_Name:5120615|Segment:SARS-CoV-2,B.1.1.33,0.97,2020-07-20,passed_qc,
Sequence_Identifier:DP_6250.aid_6640.SARS-CoV-2|Sample_Identifier:DP_6250|Sample_Name:12873-61|Segment:SARS-CoV-2,B.1.5,0.94,2020-07-20,passed_qc,
Sequence_Identifier:DP_6288.aid_6641.SARS-CoV-2|Sample_Identifier:DP_6288|Sample_Name:5120616|Segment:SARS-CoV-2,B.1.5,0.77,2020-07-20,passed_qc,
Sequence_Identifier:DP_6254.aid_6636.SARS-CoV-2|Sample_Identifier:DP_6254|Sample_Name:16232-61|Segment:SARS-CoV-2,B.1.5,0.95,2020-07-20,passed_qc,
Sequence_Identifier:DP_6249.aid_6629.SARS-CoV-2|Sample_Identifier:DP_6249|Sample_Name:12713-61|Segment:SARS-CoV-2,B.1.5,0.95,2020-07-20,passed_qc,
Sequence_Identifier:DP_6256.aid_6623.SARS-CoV-2|Sample_Identifier:DP_6256|Sample_Name:189-251|Segment:SARS-CoV-2,B.1.5,0.95,2020-07-20,passed_qc,
Sequence_Identifier:DP_6240.aid_6621.SARS-CoV-2|Sample_Identifier:DP_6240|Sample_Name:11301-61|Segment:SARS-CoV-2,B.1.5,0.95,2020-07-20,passed_qc,
Sequence_Identifier:DP_6306.aid_6614.SARS-CoV-2|Sample_Identifier:DP_6306|Sample_Name:5132604|Segment:SARS-CoV-2,B.1.1,0.99,2020-07-20,passed_qc,
Sequence_Identifier:DP_6253.aid_6615.SARS-CoV-2|Sample_Identifier:DP_6253|Sample_Name:16231-61|Segment:SARS-CoV-2,B.1.5,0.95,2020-07-20,passed_qc,
Sequence_Identifier:DP_6305.aid_6616.SARS-CoV-2|Sample_Identifier:DP_6305|Sample_Name:5122672|Segment:SARS-CoV-2,B.1.1.1,1.0,2020-07-20,passed_qc,
Sequence_Identifier:DP_6247.aid_6609.SARS-CoV-2|Sample_Identifier:DP_6247|Sample_Name:11419-61|Segment:SARS-CoV-2,B.1.5,0.95,2020-07-20,passed_qc,
Sequence_Identifier:DP_6259.aid_6606.SARS-CoV-2|Sample_Identifier:DP_6259|Sample_Name:969-155|Segment:SARS-CoV-2,B.1.5,0.95,2020-07-20,passed_qc,
Sequence_Identifier:DP_6297.aid_6605.SARS-CoV-2|Sample_Identifier:DP_6297|Sample_Name:5120653|Segment:SARS-CoV-2,B.1.5,0.9,2020-07-20,passed_qc,
Sequence_Identifier:DP_6276.aid_6600.SARS-CoV-2|Sample_Identifier:DP_6276|Sample_Name:5102652|Segment:SARS-CoV-2,B.1.5,0.94,2020-07-20,passed_qc,
Sequence_Identifier:DP_6280.aid_6599.SARS-CoV-2|Sample_Identifier:DP_6280|Sample_Name:5120605|Segment:SARS-CoV-2,B.1.1.33,0.97,2020-07-20,passed_qc,
Sequence_Identifier:RM_7121.aid_6592.SARS-CoV-2|Sample_Identifier:RM_7121|Sample_Name:op8d2|Segment:SARS-CoV-2,B.1,0.51,2020-07-20,passed_qc,
Sequence_Identifier:RM_7124.aid_6591.SARS-CoV-2|Sample_Identifier:RM_7124|Sample_Name:PUC_MVL_0088|Segment:SARS-CoV-2,B.1.110,0.97,2020-07-20,passed_qc,
Sequence_Identifier:RM_7122.aid_6585.SARS-CoV-2|Sample_Identifier:RM_7122|Sample_Name:PUC_MVL_0002|Segment:SARS-CoV-2,B.1.5,0.94,2020-07-20,passed_qc,
Sequence_Identifier:RM_6676.aid_6584.SARS-CoV-2|Sample_Identifier:RM_6676|Sample_Name:AAS3062|Segment:SARS-CoV-2,B.1.1.33,0.97,2020-07-20,passed_qc,
Sequence_Identifier:RM_6644.aid_6583.SARS-CoV-2|Sample_Identifier:RM_6644|Sample_Name:p16d3|Segment:SARS-CoV-2,B.1.1.33,0.97,2020-07-20,passed_qc,
Sequence_Identifier:RM_6403.aid_6581.SARS-CoV-2|Sample_Identifier:RM_6403|Sample_Name:PUC_MVL_0313|Segment:SARS-CoV-2,B.1.1.1,1.0,2020-07-20,passed_qc,
Sequence_Identifier:RM_6652.aid_6582.SARS-CoV-2|Sample_Identifier:RM_6652|Sample_Name:RCQ3964|Segment:SARS-CoV-2,B.1.1.33,0.97,2020-07-20,passed_qc,
Sequence_Identifier:RM_6639.aid_6578.SARS-CoV-2|Sample_Identifier:RM_6639|Sample_Name:p8d29|Segment:SARS-CoV-2,B.1.5,0.94,2020-07-20,passed_qc,
Sequence_Identifier:RM_6485.aid_6577.SARS-CoV-2|Sample_Identifier:RM_6485|Sample_Name:PUC_MVL_0470|Segment:SARS-CoV-2,B.1.110,0.96,2020-07-20,passed_qc,
Sequence_Identifier:RM_6488.aid_6575.SARS-CoV-2|Sample_Identifier:RM_6488|Sample_Name:PUC_MVL_0475|Segment:SARS-CoV-2,B.1.1.33,0.95,2020-07-20,passed_qc,
Sequence_Identifier:RM_6490.aid_6574.SARS-CoV-2|Sample_Identifier:RM_6490|Sample_Name:PUC_MVL_0478|Segment:SARS-CoV-2,B.1.1.33,0.97,2020-07-20,passed_qc,
Sequence_Identifier:RM_6385.aid_6569.SARS-CoV-2|Sample_Identifier:RM_6385|Sample_Name:PUC_MVL_0275|Segment:SARS-CoV-2,B.1.1.33,0.97,2020-07-20,passed_qc,
Sequence_Identifier:RM_6383.aid_6571.SARS-CoV-2|Sample_Identifier:RM_6383|Sample_Name:PUC_MVL_0273|Segment:SARS-CoV-2,B.1.5,0.92,2020-07-20,passed_qc,
Sequence_Identifier:RM_6380.aid_6572.SARS-CoV-2|Sample_Identifier:RM_6380|Sample_Name:PUC_MVL_0270|Segment:SARS-CoV-2,B.1.5,0.91,2020-07-20,passed_qc,
Sequence_Identifier:RM_6381.aid_6573.SARS-CoV-2|Sample_Identifier:RM_6381|Sample_Name:PUC_MVL_0271|Segment:SARS-CoV-2,B.1.5,0.92,2020-07-20,passed_qc,
Sequence_Identifier:RM_6384.aid_6568.SARS-CoV-2|Sample_Identifier:RM_6384|Sample_Name:PUC_MVL_0274|Segment:SARS-CoV-2,B.1.5,0.96,2020-07-20,passed_qc,
Sequence_Identifier:RM_6386.aid_6567.SARS-CoV-2|Sample_Identifier:RM_6386|Sample_Name:PUC_MVL_0277|Segment:SARS-CoV-2,B.1.5,0.92,2020-07-20,passed_qc,
Sequence_Identifier:RM_6387.aid_6566.SARS-CoV-2|Sample_Identifier:RM_6387|Sample_Name:PUC_MVL_0279|Segment:SARS-CoV-2,B.1.1,0.99,2020-07-20,passed_qc,
Sequence_Identifier:RM_6690.aid_6565.SARS-CoV-2|Sample_Identifier:RM_6690|Sample_Name:GAV3827|Segment:SARS-CoV-2,B.1,0.99,2020-07-20,passed_qc,
Sequence_Identifier:RM_6451.aid_6561.SARS-CoV-2|Sample_Identifier:RM_6451|Sample_Name:PUC_MVL_0400|Segment:SARS-CoV-2,B.1.1,0.99,2020-07-20,passed_qc,
Sequence_Identifier:RM_6453.aid_6562.SARS-CoV-2|Sample_Identifier:RM_6453|Sample_Name:PUC_MVL_0403|Segment:SARS-CoV-2,B.1,0.99,2020-07-20,passed_qc,
Sequence_Identifier:RM_6678.aid_6560.SARS-CoV-2|Sample_Identifier:RM_6678|Sample_Name:MTS3729|Segment:SARS-CoV-2,B.1.1.33,0.97,2020-07-20,passed_qc,
Sequence_Identifier:RM_6566.aid_6558.SARS-CoV-2|Sample_Identifier:RM_6566|Sample_Name:PUC_MVL_0125|Segment:SARS-CoV-2,B.1.5,0.94,2020-07-20,passed_qc,
Sequence_Identifier:RM_6565.aid_6557.SARS-CoV-2|Sample_Identifier:RM_6565|Sample_Name:PUC_MVL_0124|Segment:SARS-CoV-2,B.1.1,0.99,2020-07-20,passed_qc,
Sequence_Identifier:RM_6567.aid_6556.SARS-CoV-2|Sample_Identifier:RM_6567|Sample_Name:PUC_MVL_0127|Segment:SARS-CoV-2,B.1.110,0.97,2020-07-20,passed_qc,
Sequence_Identifier:RM_6674.aid_6551.SARS-CoV-2|Sample_Identifier:RM_6674|Sample_Name:MME4342|Segment:SARS-CoV-2,B.1.1.33,0.97,2020-07-20,passed_qc,
Sequence_Identifier:RM_6500.aid_6553.SARS-CoV-2|Sample_Identifier:RM_6500|Sample_Name:PUC_MVL_0490|Segment:SARS-CoV-2,B.1.1.33,0.97,2020-07-20,passed_qc,
Sequence_Identifier:RM_6501.aid_6554.SARS-CoV-2|Sample_Identifier:RM_6501|Sample_Name:PUC_MVL_0491|Segment:SARS-CoV-2,B.1.1.33,0.97,2020-07-20,passed_qc,
Sequence_Identifier:RM_6649.aid_6555.SARS-CoV-2|Sample_Identifier:RM_6649|Sample_Name:op24d6|Segment:SARS-CoV-2,B.1.110,0.97,2020-07-20,passed_qc,
Sequence_Identifier:RM_6422.aid_6548.SARS-CoV-2|Sample_Identifier:RM_6422|Sample_Name:PUC_MVL_0353|Segment:SARS-CoV-2,B.1.1.33,0.97,2020-07-20,passed_qc,
Sequence_Identifier:RM_6421.aid_6547.SARS-CoV-2|Sample_Identifier:RM_6421|Sample_Name:PUC_MVL_0351|Segment:SARS-CoV-2,B.1.110,0.97,2020-07-20,passed_qc,
Sequence_Identifier:RM_6423.aid_6546.SARS-CoV-2|Sample_Identifier:RM_6423|Sample_Name:PUC_MVL_0354|Segment:SARS-CoV-2,B.1.1.33,0.97,2020-07-20,passed_qc,
Sequence_Identifier:RM_6774.aid_6549.SARS-CoV-2|Sample_Identifier:RM_6774|Sample_Name:PUC_MVL_0059|Segment:SARS-CoV-2,B.1.1.33,0.97,2020-07-20,passed_qc,
Sequence_Identifier:RM_6766.aid_6545.SARS-CoV-2|Sample_Identifier:RM_6766|Sample_Name:PUC_MVL_0051|Segment:SARS-CoV-2,B.1.1,0.97,2020-07-20,passed_qc,
Sequence_Identifier:RM_6767.aid_6542.SARS-CoV-2|Sample_Identifier:RM_6767|Sample_Name:PUC_MVL_0052|Segment:SARS-CoV-2,B.1.110,0.97,2020-07-20,passed_qc,
Sequence_Identifier:RM_6424.aid_6543.SARS-CoV-2|Sample_Identifier:RM_6424|Sample_Name:PUC_MVL_0358|Segment:SARS-CoV-2,B.1.1,0.99,2020-07-20,passed_qc,
Sequence_Identifier:RM_6765.aid_6544.SARS-CoV-2|Sample_Identifier:RM_6765|Sample_Name:PUC_MVL_0050|Segment:SARS-CoV-2,B.1.5,0.94,2020-07-20,passed_qc,
Sequence_Identifier:RM_6770.aid_6541.SARS-CoV-2|Sample_Identifier:RM_6770|Sample_Name:PUC_MVL_0055|Segment:SARS-CoV-2,B.1.110,0.97,2020-07-20,passed_qc,
Sequence_Identifier:RM_6769.aid_6540.SARS-CoV-2|Sample_Identifier:RM_6769|Sample_Name:PUC_MVL_0054|Segment:SARS-CoV-2,B.1.1,0.99,2020-07-20,passed_qc,
Sequence_Identifier:RM_6772.aid_6539.SARS-CoV-2|Sample_Identifier:RM_6772|Sample_Name:PUC_MVL_0057|Segment:SARS-CoV-2,B.1,1.0,2020-07-20,passed_qc,
Sequence_Identifier:RM_6771.aid_6538.SARS-CoV-2|Sample_Identifier:RM_6771|Sample_Name:PUC_MVL_0056|Segment:SARS-CoV-2,B.1.110,0.97,2020-07-20,passed_qc,
Sequence_Identifier:RM_6625.aid_6533.SARS-CoV-2|Sample_Identifier:RM_6625|Sample_Name:PUC_MVL_0236|Segment:SARS-CoV-2,B.1.5,0.92,2020-07-20,passed_qc,
Sequence_Identifier:RM_6626.aid_6534.SARS-CoV-2|Sample_Identifier:RM_6626|Sample_Name:PUC_MVL_0237|Segment:SARS-CoV-2,B.1.1,0.99,2020-07-20,passed_qc,
Sequence_Identifier:RM_6621.aid_6535.SARS-CoV-2|Sample_Identifier:RM_6621|Sample_Name:PUC_MVL_0234|Segment:SARS-CoV-2,B.1.110,0.97,2020-07-20,passed_qc,
Sequence_Identifier:RM_6698.aid_6536.SARS-CoV-2|Sample_Identifier:RM_6698|Sample_Name:VN21|Segment:SARS-CoV-2,B.1.1,0.99,2020-07-20,passed_qc,
Sequence_Identifier:RM_6629.aid_6528.SARS-CoV-2|Sample_Identifier:RM_6629|Sample_Name:PUC_MVL_0239|Segment:SARS-CoV-2,B.1.5,0.94,2020-07-20,passed_qc,
Sequence_Identifier:RM_6563.aid_6529.SARS-CoV-2|Sample_Identifier:RM_6563|Sample_Name:PUC_MVL_0232|Segment:SARS-CoV-2,B.1.110,0.97,2020-07-20,passed_qc,
Sequence_Identifier:RM_6631.aid_6531.SARS-CoV-2|Sample_Identifier:RM_6631|Sample_Name:PUC_MVL_0230|Segment:SARS-CoV-2,B.1.1.33,0.97,2020-07-20,passed_qc,
Sequence_Identifier:RM_6634.aid_6532.SARS-CoV-2|Sample_Identifier:RM_6634|Sample_Name:PUC_MVL_0231|Segment:SARS-CoV-2,B.1.1.33,0.97,2020-07-20,passed_qc,
Sequence_Identifier:RM_6763.aid_6527.SARS-CoV-2|Sample_Identifier:RM_6763|Sample_Name:PUC_MVL_0048|Segment:SARS-CoV-2,B.1.3,1.0,2020-07-20,passed_qc,
Sequence_Identifier:RM_6755.aid_6526.SARS-CoV-2|Sample_Identifier:RM_6755|Sample_Name:PUC_MVL_0044|Segment:SARS-CoV-2,B.1.110,0.97,2020-07-20,passed_qc,
Sequence_Identifier:RM_6760.aid_6525.SARS-CoV-2|Sample_Identifier:RM_6760|Sample_Name:PUC_MVL_0045|Segment:SARS-CoV-2,B.1.1,0.99,2020-07-20,passed_qc,
Sequence_Identifier:RM_6475.aid_6524.SARS-CoV-2|Sample_Identifier:RM_6475|Sample_Name:PUC_MVL_0442|Segment:SARS-CoV-2,B.1.1,0.99,2020-07-20,passed_qc,
Sequence_Identifier:RM_6520.aid_6519.SARS-CoV-2|Sample_Identifier:RM_6520|Sample_Name:PUC_MVL_0523|Segment:SARS-CoV-2,B.1.1.33,0.97,2020-07-20,passed_qc,
Sequence_Identifier:RM_6393.aid_6520.SARS-CoV-2|Sample_Identifier:RM_6393|Sample_Name:PUC_MVL_0289|Segment:SARS-CoV-2,B.1.5,0.92,2020-07-20,passed_qc,
Sequence_Identifier:RM_6752.aid_6521.SARS-CoV-2|Sample_Identifier:RM_6752|Sample_Name:PUC_MVL_0041|Segment:SARS-CoV-2,B.1,0.99,2020-07-20,passed_qc,
Sequence_Identifier:RM_6476.aid_6523.SARS-CoV-2|Sample_Identifier:RM_6476|Sample_Name:PUC_MVL_0443|Segment:SARS-CoV-2,B.1.110,0.97,2020-07-20,passed_qc,
Sequence_Identifier:RM_6519.aid_6518.SARS-CoV-2|Sample_Identifier:RM_6519|Sample_Name:PUC_MVL_0522|Segment:SARS-CoV-2,B.1.1.1,1.0,2020-07-20,passed_qc,
Sequence_Identifier:RM_6526.aid_6513.SARS-CoV-2|Sample_Identifier:RM_6526|Sample_Name:PUC_MVL_0529|Segment:SARS-CoV-2,B.1.1.33,0.97,2020-07-20,passed_qc,
Sequence_Identifier:RM_6525.aid_6512.SARS-CoV-2|Sample_Identifier:RM_6525|Sample_Name:PUC_MVL_0528|Segment:SARS-CoV-2,B.1.5,0.45,2020-07-20,passed_qc,
Sequence_Identifier:RM_6547.aid_6507.SARS-CoV-2|Sample_Identifier:RM_6547|Sample_Name:PUC_MVL_0089|Segment:SARS-CoV-2,B.1.110,0.97,2020-07-20,passed_qc,
Sequence_Identifier:RM_6665.aid_6506.SARS-CoV-2|Sample_Identifier:RM_6665|Sample_Name:FBT246K|Segment:SARS-CoV-2,B.1.5,0.92,2020-07-20,passed_qc,
Sequence_Identifier:RM_6517.aid_6505.SARS-CoV-2|Sample_Identifier:RM_6517|Sample_Name:PUC_MVL_0519|Segment:SARS-CoV-2,B.1.5,0.93,2020-07-20,passed_qc,
Sequence_Identifier:RM_6797.aid_6504.SARS-CoV-2|Sample_Identifier:RM_6797|Sample_Name:PUC_MVL_0083|Segment:SARS-CoV-2,B.1.110,0.97,2020-07-20,passed_qc,
Sequence_Identifier:RM_6668.aid_6508.SARS-CoV-2|Sample_Identifier:RM_6668|Sample_Name:CDV2422|Segment:SARS-CoV-2,B.1.1.33,0.97,2020-07-20,passed_qc,
Sequence_Identifier:RM_6798.aid_6500.SARS-CoV-2|Sample_Identifier:RM_6798|Sample_Name:PUC_MVL_0084|Segment:SARS-CoV-2,B.1.110,0.97,2020-07-20,passed_qc,
Sequence_Identifier:RM_6795.aid_6502.SARS-CoV-2|Sample_Identifier:RM_6795|Sample_Name:PUC_MVL_0081|Segment:SARS-CoV-2,B.1.110,0.97,2020-07-20,passed_qc,
Sequence_Identifier:RM_6518.aid_6503.SARS-CoV-2|Sample_Identifier:RM_6518|Sample_Name:PUC_MVL_0520|Segment:SARS-CoV-2,B.1.1.1,1.0,2020-07-20,passed_qc,
Sequence_Identifier:RM_6800.aid_6501.SARS-CoV-2|Sample_Identifier:RM_6800|Sample_Name:PUC_MVL_0086|Segment:SARS-CoV-2,B.1.5,0.94,2020-07-20,passed_qc,
Sequence_Identifier:RM_6799.aid_6499.SARS-CoV-2|Sample_Identifier:RM_6799|Sample_Name:PUC_MVL_0085|Segment:SARS-CoV-2,B.1.1,0.97,2020-07-20,passed_qc,
Sequence_Identifier:RM_6650.aid_6498.SARS-CoV-2|Sample_Identifier:RM_6650|Sample_Name:op25d8|Segment:SARS-CoV-2,B.1.110,0.97,2020-07-20,passed_qc,
Sequence_Identifier:RM_6740.aid_6497.SARS-CoV-2|Sample_Identifier:RM_6740|Sample_Name:PUC_MVL_0029|Segment:SARS-CoV-2,B.1.5,0.94,2020-07-20,passed_qc,
Sequence_Identifier:RM_6784.aid_6496.SARS-CoV-2|Sample_Identifier:RM_6784|Sample_Name:PUC_MVL_0070|Segment:SARS-CoV-2,B.1.5,0.94,2020-07-20,passed_qc,
Sequence_Identifier:RM_6388.aid_6495.SARS-CoV-2|Sample_Identifier:RM_6388|Sample_Name:PUC_MVL_0280|Segment:SARS-CoV-2,B.1.5,0.9,2020-07-20,passed_qc,
Sequence_Identifier:RM_6450.aid_6492.SARS-CoV-2|Sample_Identifier:RM_6450|Sample_Name:PUC_MVL_0397|Segment:SARS-CoV-2,B.1.5,0.94,2020-07-20,passed_qc,
